2021-10-10 00:59:17, INFO: Current git head hash code: %s
2021-10-10 00:59:17, INFO: Using device: cpu
2021-10-10 00:59:17, INFO: Policy: LSTM-GA3C w/o pairwise interaction module
2021-10-10 00:59:17, INFO: human number: 5
2021-10-10 00:59:17, INFO: Not randomize human's radius and preferred speed
2021-10-10 00:59:17, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2021-10-10 00:59:17, INFO: Square width: 10.0, circle width: 4.0
2021-10-10 00:59:17, INFO: Load reinforcement learning trained weights. Resume training
2021-10-10 00:59:17, INFO: Agent is invisible and has holonomic kinematic constraint
2021-10-10 00:59:17, INFO: Current learning rate: 0.001000
2021-10-10 01:33:27, INFO: TRAIN in episode 150 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:33:35, INFO: TRAIN in episode 151 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:33:43, INFO: TRAIN in episode 152 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:33:50, INFO: TRAIN in episode 153 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:33:57, INFO: TRAIN in episode 154 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:34:05, INFO: TRAIN in episode 155 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:34:12, INFO: TRAIN in episode 156 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0144
2021-10-10 01:34:19, INFO: TRAIN in episode 157 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:34:27, INFO: TRAIN in episode 158 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:34:34, INFO: TRAIN in episode 159 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:34:41, INFO: TRAIN in episode 160 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:34:49, INFO: TRAIN in episode 161 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:34:56, INFO: TRAIN in episode 162 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0527
2021-10-10 01:35:04, INFO: TRAIN in episode 163 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:35:11, INFO: TRAIN in episode 164 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:35:19, INFO: TRAIN in episode 165 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0065
2021-10-10 01:35:26, INFO: TRAIN in episode 166 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:35:33, INFO: TRAIN in episode 167 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:35:40, INFO: TRAIN in episode 168 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:35:47, INFO: TRAIN in episode 169 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:35:54, INFO: TRAIN in episode 170 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:36:02, INFO: TRAIN in episode 171 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:36:09, INFO: TRAIN in episode 172 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:36:17, INFO: TRAIN in episode 173 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:36:25, INFO: TRAIN in episode 174 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:36:32, INFO: TRAIN in episode 175 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:36:40, INFO: TRAIN in episode 176 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:36:47, INFO: TRAIN in episode 177 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:36:54, INFO: TRAIN in episode 178 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-10-10 01:37:02, INFO: TRAIN in episode 179 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
