2021-10-16 18:34:38, DEBUG: Popen(['git', 'cat-file', '--batch-check'], cwd=/home/jia/Documents/MasterProject/CrowdNav-master/crowd_nav, universal_newlines=False, shell=None, istream=<valid stream>)
2021-10-16 18:34:38, INFO: Current git head hash code: %s
2021-10-16 18:34:38, INFO: Using device: cpu
2021-10-16 18:34:38, INFO: Policy: LSTM-GA3C w/o pairwise interaction module
2021-10-16 18:34:38, INFO: human number: 5
2021-10-16 18:34:38, INFO: Not randomize human's radius and preferred speed
2021-10-16 18:34:38, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2021-10-16 18:34:38, INFO: Square width: 10.0, circle width: 4.0
2021-10-16 18:34:38, INFO: Current learning rate: 0.010000
2021-10-16 18:34:38, INFO: Orca_danger_dist: 1.00
2021-10-16 18:34:38, INFO: Policy: ORCA_discrete without occupancy map
2021-10-16 18:34:38, INFO: Dynamic Obstacle Set FALSE!
2021-10-16 18:34:38, DEBUG: update action set TRUE
2021-10-16 18:37:30, INFO: TRAIN has success rate: 0.61, collision rate: 0.19, nav time: 15.16, total reward: 0.0679
2021-10-16 18:37:38, DEBUG: Average loss in epoch 0: 1.32E-03
2021-10-16 18:37:46, DEBUG: Average loss in epoch 1: 1.24E-03
2021-10-16 18:37:46, INFO: Finish imitation learning. Weights saved.
2021-10-16 18:37:46, INFO: Experience set size: 10000/10000
2021-10-16 18:37:46, INFO: Agent is invisible and has holonomic kinematic constraint
2021-10-16 18:37:46, INFO: Current learning rate: 0.001000
2021-10-16 18:40:17, INFO: TRAIN in episode 31 has success rate: 1.00, collision rate: 0.00, nav time: 14.25, total reward: 0.2114, loss: -5.78E-01
2021-10-16 18:40:21, INFO: TRAIN in episode 32 has success rate: 1.00, collision rate: 0.00, nav time: 13.75, total reward: 0.2214, loss: -5.49E-01
2021-10-16 18:40:25, INFO: TRAIN in episode 33 has success rate: 1.00, collision rate: 0.00, nav time: 15.00, total reward: 0.2026, loss: -6.14E-01
2021-10-16 18:40:29, INFO: TRAIN in episode 34 has success rate: 1.00, collision rate: 0.00, nav time: 13.50, total reward: 0.2476, loss: -6.19E-01
2021-10-16 18:40:34, INFO: TRAIN in episode 35 has success rate: 1.00, collision rate: 0.00, nav time: 16.00, total reward: 0.1555, loss: -7.12E-01
2021-10-16 18:40:41, INFO: TRAIN in episode 36 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000, loss: -8.99E-01
2021-10-16 18:40:47, INFO: TRAIN in episode 37 has success rate: 1.00, collision rate: 0.00, nav time: 19.50, total reward: 0.1316, loss: -5.19E-01
2021-10-16 18:40:52, INFO: TRAIN in episode 38 has success rate: 1.00, collision rate: 0.00, nav time: 16.25, total reward: 0.1853, loss: -7.53E-01
2021-10-16 18:40:57, INFO: TRAIN in episode 39 has success rate: 1.00, collision rate: 0.00, nav time: 14.25, total reward: 0.2280, loss: -5.23E-01
2021-10-16 18:41:00, INFO: TRAIN in episode 40 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1332, loss: -1.40E+00
